"Cervix Uteri"
"Recent Trends in U.S. Age-Adjusted Mortality Rates, 2000-2023"
"Female By Race/Ethnicity, All Ages"

"Regression Line Segment Trends (shown on graph)"
"Race/Ethnicity","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates"
"Race/Ethnicity","Year Range","APC (%)","Lower 95% C.I.","Upper 95% C.I.","P-Value","Direction"
"Hispanic (any race)","2000-2002","-10.0","-13.5","-2.0","<0.01","Falling"
"Hispanic (any race)","2002-2023","-1.6","-1.9","-0.8","0.02","Falling"
"Non-Hispanic American Indian / Alaska Native","2000-2023","-1.7","-2.8","-0.5","0.01","Falling"
"Non-Hispanic Asian / Pacific Islander","2000-2009","-4.2","-13.6","-1.4","0.04","Falling"
"Non-Hispanic Asian / Pacific Islander","2009-2023","-0.8","-2.3","6.5","0.62","Not Significant"
"Non-Hispanic Black","2000-2023","-2.5","-2.8","-2.2","<0.01","Falling"
"Non-Hispanic White","2000-2004","-3.0","-6.4","-1.1","<0.01","Falling"
"Non-Hispanic White","2004-2023","-0.1","-0.3","0.2","0.46","Not Significant"


"Recent 5 and 10 Year Trends"
"Race/Ethnicity","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates"
"Race/Ethnicity","Year Range","AAPC (%)","Lower 95% C.I.","Upper 95% C.I.","P-Value","Direction"
"Hispanic (any race)","2014-2023","-1.6","-1.9","-1.0","<0.01","Falling"
"Hispanic (any race)","2019-2023","-1.6","-1.9","-0.8","0.02","Falling"
"Non-Hispanic American Indian / Alaska Native","2014-2023","-1.7","-2.8","-0.5","0.01","Falling"
"Non-Hispanic American Indian / Alaska Native","2019-2023","-1.7","-2.8","-0.5","0.01","Falling"
"Non-Hispanic Asian / Pacific Islander","2014-2023","-0.8","-2.3","1.3","0.54","Not Significant"
"Non-Hispanic Asian / Pacific Islander","2019-2023","-0.8","-2.3","4.1","0.62","Not Significant"
"Non-Hispanic Black","2014-2023","-2.5","-2.8","-2.2","<0.01","Falling"
"Non-Hispanic Black","2019-2023","-2.5","-2.8","-2.2","<0.01","Falling"
"Non-Hispanic White","2014-2023","-0.1","-0.3","0.2","0.46","Not Significant"
"Non-Hispanic White","2019-2023","-0.1","-0.3","0.2","0.46","Not Significant"


"Data Source:"
"-U.S. Mortality Data (1969-2023), National Center for Health Statistics, CDC."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 5.4, April 2025, National Cancer Institute using the default settings."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"Cancer Site Coding:"
"-Cancer site cause of death is defined using the SEER Cause of Death Recode 1969+ (03/01/2018) [https://seer.cancer.gov/codrecode/1969_d03012018/index.html]."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Thu Feb 26 2026.
